iter	Logloss
0	0.6494917221
1	0.6149269257
2	0.5835027313
3	0.5614642563
4	0.5416344681
5	0.5220348053
6	0.5065661697
7	0.4918365631
8	0.4791649208
9	0.4670677757
10	0.4567529488
11	0.4469874458
12	0.4373643188
13	0.4270574074
14	0.4171784096
15	0.4078801727
16	0.4001938438
17	0.3921892815
18	0.383492157
19	0.3769625549
20	0.3701279221
21	0.3642985382
22	0.356252388
23	0.3510541191
24	0.344770977
25	0.3389295273
26	0.332117672
27	0.3272500038
28	0.3219430962
29	0.3163613396
30	0.3118882866
31	0.3072521706
32	0.3027365341
33	0.2974522095
34	0.2938913651
35	0.2897526512
36	0.286113636
37	0.2824707489
38	0.2791606178
39	0.2762382507
40	0.271906086
41	0.2679384003
42	0.2640811996
43	0.2609821014
44	0.2584657097
45	0.2551976414
46	0.2517546139
47	0.2488058395
48	0.2459343853
49	0.2433370495
50	0.2407245865
51	0.2379922371
52	0.2358171864
53	0.233083725
54	0.231200901
55	0.2290017834
56	0.2262135506
57	0.2238637428
58	0.2215825405
59	0.2186220703
60	0.2166792297
61	0.2145672112
62	0.2123043976
63	0.2098177166
64	0.2079013939
65	0.2058553677
66	0.2041565723
67	0.2022547569
68	0.2003051071
69	0.1988337097
70	0.1972926979
71	0.1955837116
72	0.1942040138
73	0.1918919773
74	0.190308548
75	0.1884006577
76	0.1866300488
77	0.1850232639
78	0.1835213585
79	0.1818507996
80	0.1803630028
81	0.1786037102
82	0.1767562904
83	0.1754525127
84	0.1740490475
85	0.1729704285
86	0.1715773697
87	0.1703304996
88	0.1687844982
89	0.1671402092
90	0.1656100464
91	0.1643179188
92	0.1627203445
93	0.1614386482
94	0.1602042522
95	0.1592080784
96	0.1577582645
97	0.1565547466
98	0.1554955635
99	0.1545126877
