iter	Passed	Remaining
0	40	3984
1	68	3339
2	95	3101
3	125	3002
4	151	2873
5	179	2813
6	202	2691
7	234	2701
8	260	2630
9	289	2606
10	314	2542
11	357	2623
12	395	2645
13	434	2669
14	465	2636
15	503	2645
16	542	2646
17	577	2630
18	610	2601
19	643	2573
20	689	2592
21	724	2566
22	752	2520
23	787	2493
24	822	2466
25	854	2431
26	886	2397
27	918	2362
28	953	2333
29	990	2310
30	1027	2287
31	1060	2252
32	1086	2206
33	1112	2159
34	1138	2114
35	1165	2071
36	1193	2032
37	1217	1986
38	1240	1940
39	1266	1899
40	1288	1854
41	1314	1815
42	1337	1772
43	1362	1734
44	1388	1696
45	1416	1663
46	1442	1626
47	1482	1606
48	1546	1609
49	1581	1581
50	1605	1542
51	1632	1506
52	1661	1473
53	1689	1439
54	1715	1403
55	1744	1370
56	1773	1337
57	1803	1305
58	1831	1272
59	1859	1239
60	1885	1205
61	1910	1170
62	1937	1137
63	1965	1105
64	1989	1071
65	2014	1038
66	2040	1005
67	2070	974
68	2096	942
69	2124	910
70	2160	882
71	2191	852
72	2221	821
73	2252	791
74	2284	761
75	2315	731
76	2350	702
77	2383	672
78	2418	642
79	2446	611
80	2477	581
81	2511	551
82	2547	521
83	2576	490
84	2604	459
85	2630	428
86	2656	396
87	2689	366
88	2728	337
89	2762	306
90	2799	276
91	2834	246
92	2869	215
93	2904	185
94	2941	154
95	2970	123
96	2999	92
97	3026	61
98	3057	30
99	3083	0
